Strategy,Ann. Mean,Ann. Std,Sharpe,Max DD,Calmar,% Positive,Total Return,N Months
SF+EW (gross),0.05310819665953953,0.06752201536018712,0.7865315686482548,0.05710747321343708,0.9299692959807484,0.581081081081081,0.36777137214731725,74
SF+EW (10bps),0.05166114171748337,0.06752201536018712,0.7651007074048953,0.05915893544955213,0.8732601647563027,0.581081081081081,0.355668527810421,74
SF+EW (20bps),0.05021408677542721,0.06752201536018711,0.7436698461615359,0.06120618181230227,0.8204087444862361,0.581081081081081,0.34367134147128553,74
SF+EW (30bps),0.04876703183337105,0.06752201536018712,0.7222389849181762,0.06324922045678005,0.7710297689233169,0.581081081081081,0.33177890326525294,74
SF+EW (50bps),0.04587292194925872,0.06752201536018712,0.679377262431457,0.06732270713736567,0.6813885522407666,0.581081081081081,0.30830467036556986,74
SF+Momentum (gross),0.06189528402575836,0.07119685428275248,0.8693541961832514,0.13495152346414932,0.4586482793000941,0.6081081081081081,0.44116548208328266,74
SF+Momentum (10bps),0.06044822908370219,0.07119685428275248,0.8490294928429983,0.1356969096893207,0.4454650383866439,0.6081081081081081,0.4284218595007656,74
SF+Momentum (20bps),0.059001174141646046,0.07119685428275248,0.8287047895027456,0.13644174536812256,0.43242758279337234,0.6081081081081081,0.4157894133153923,74
SF+Momentum (30bps),0.05755411919958989,0.07119685428275248,0.8083800861624927,0.1371860308394336,0.41953337994706513,0.6081081081081081,0.40326718679264806,74
SF+Momentum (50bps),0.054660009315477535,0.07119685428275248,0.7677306794819865,0.13957456294460377,0.3916187030237862,0.581081081081081,0.3785496063281053,74
Comp+EW (gross),0.041124810620697,0.056775976331650664,0.7243347147475001,0.06246809832855533,0.6583330007005845,0.5675675675675675,0.27561745643408875,74
Comp+EW (10bps),0.0390733605250821,0.05677597633165067,0.6882023533481718,0.06327980212847792,0.6174697014025246,0.5675675675675675,0.25963065142026887,74
Comp+EW (20bps),0.03702191042946719,0.05677597633165067,0.6520699919488436,0.06551098014964857,0.5651252712888283,0.5540540540540541,0.24384152795328884,74
Comp+EW (30bps),0.03497046033385229,0.05677597633165067,0.6159376305495156,0.07014415968779007,0.49855127625029577,0.5405405405405406,0.22824767472718066,74
Comp+EW (50bps),0.030867560142622485,0.05677597633165067,0.5436729077508593,0.07934407307696868,0.38903422707678537,0.5405405405405406,0.19763627847586518,74
Comp+Momentum (gross),0.05851255309854472,0.06501718299188769,0.8999552180820483,0.11186236342722199,0.5230763172334829,0.6081081081081081,0.41519199767280646,74
Comp+Momentum (10bps),0.05646110300292982,0.06501718299188769,0.8684027883824892,0.11279128614843208,0.5005803633503003,0.5945945945945946,0.3974799856951521,74
Comp+Momentum (20bps),0.054409652907314913,0.06501718299188769,0.8368503586829301,0.11591057004271302,0.4694106230973152,0.5945945945945946,0.37998669100182547,74
Comp+Momentum (30bps),0.05235820281170001,0.06501718299188769,0.805297928983371,0.12060303564650265,0.43413669093012036,0.5945945945945946,0.36270944931509597,74
Comp+Momentum (50bps),0.04825530262047022,0.06501718299188769,0.7421930695842531,0.12991576673849806,0.37143530636740396,0.581081081081081,0.328792627516741,74
SF+IndustryEW (gross),0.04811467091664592,0.05670986344099157,0.8484356688093734,0.05755084408311715,0.8360376234822352,0.5895522388059702,0.6798245148389317,134
SF+IndustryEW (10bps),0.046667615974589766,0.05670986344099157,0.8229188564904396,0.05915893544955299,0.7888515170186754,0.5895522388059702,0.6529968713282335,134
SF+IndustryEW (20bps),0.04522056103253361,0.05670986344099157,0.7974020441715055,0.061206181812302723,0.7388234275290811,0.5895522388059702,0.6265945313484758,134
SF+IndustryEW (30bps),0.04377350609047744,0.05670986344099157,0.7718852318525714,0.06324922045678112,0.6920797722777999,0.582089552238806,0.6006108023939036,134
SF+IndustryEW (50bps),0.04087939620636511,0.05670986344099157,0.7208516072147032,0.06732270713736531,0.6072155732382353,0.582089552238806,0.549872928550152,134
Comp+IndustryEW (gross),0.04331958101279454,0.04952024181357955,0.8747853287120934,0.06246809832855527,0.6934672604399162,0.6119402985074627,0.5990002338587419,134
Comp+IndustryEW (10bps),0.04126813091717965,0.04952024181357955,0.8333588327887166,0.06327980212847804,0.6521532863423352,0.6044776119402985,0.5629054866436909,134
Comp+IndustryEW (20bps),0.03921668082156476,0.04952024181357955,0.7919323368653396,0.06551098014964951,0.5986276000142332,0.5895522388059702,0.5276195726621142,134
Comp+IndustryEW (30bps),0.03716523072594985,0.04952024181357955,0.7505058409419624,0.07014415968779006,0.5298407007992024,0.582089552238806,0.4931245003493059,134
Comp+IndustryEW (50bps),0.033062330534720054,0.04952024181357955,0.6676528490952084,0.07934407307696884,0.4166956554227746,0.5597014925373134,0.426436891947624,134
